action,filename,depth_cm,old_depth,source
added,10.0cm.jpg,10.00,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\10.0cm.jpg
added,100.00cm.jpg,100.00,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\100.00cm.jpg
added,100.0cm.png,100.00,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\100.0cm.png
added,100cm.png,100.00,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\100cm.png
added,10cm.jpg,10.00,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\10cm.jpg
added,115cm.png,115.00,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\115cm.png
added,125cm.png,125.00,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\125cm.png
added,15.00cm.jpg,15.00,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.00cm.jpg
added,15.01cm.jpg,15.01,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.01cm.jpg
added,15.02cm.jpg,15.02,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.02cm.jpg
added,15.03cm.jpg,15.03,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.03cm.jpg
added,15.04cm.png,15.04,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.04cm.png
added,15.05cm.png,15.05,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.05cm.png
added,15.06cm.png,15.06,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.06cm.png
added,15.07cm.jpg,15.07,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.07cm.jpg
added,15.08cm.jpg,15.08,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.08cm.jpg
added,15.09cm.jpg,15.09,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.09cm.jpg
added,15.0cm.jpg,15.00,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.0cm.jpg
added,15.10cm.jpg,15.10,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.10cm.jpg
added,15.11cm.png,15.11,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.11cm.png
added,15.12cm.jpg,15.12,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.12cm.jpg
added,15.13cm.png,15.13,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.13cm.png
added,15.14cm.jpg,15.14,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.14cm.jpg
added,15.15cm.png,15.15,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.15cm.png
added,15.1cm.png,15.10,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15.1cm.png
added,15cm.jpg,15.00,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\15cm.jpg
added,160.0cm.jpg,160.00,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\160.0cm.jpg
added,160cm.jpg,160.00,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\160cm.jpg
added,20.00cm.jpg,20.00,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.00cm.jpg
added,20.01cm.jpg,20.01,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.01cm.jpg
added,20.02cm.jpg,20.02,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.02cm.jpg
added,20.03cm.jpg,20.03,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.03cm.jpg
added,20.04cm.jpg,20.04,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.04cm.jpg
added,20.05cm.jpg,20.05,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.05cm.jpg
added,20.06cm.jpg,20.06,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.06cm.jpg
added,20.07cm.jpg,20.07,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.07cm.jpg
added,20.08cm.jpg,20.08,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.08cm.jpg
added,20.09cm.jpg,20.09,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.09cm.jpg
added,20.0cm.jpg,20.00,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.0cm.jpg
added,20.10cm.jpg,20.10,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.10cm.jpg
added,20.11cm.jpg,20.11,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.11cm.jpg
added,20.12cm.png,20.12,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.12cm.png
added,20.13cm.jpg,20.13,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.13cm.jpg
added,20.14cm.jpg,20.14,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.14cm.jpg
added,20.15cm.jpg,20.15,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.15cm.jpg
added,20.16cm.png,20.16,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.16cm.png
added,20.17cm.jpg,20.17,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.17cm.jpg
added,20.18cm.jpg,20.18,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.18cm.jpg
added,20.19cm.jpg,20.19,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.19cm.jpg
added,20.1cm.jpg,20.10,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.1cm.jpg
added,20.20cm.jpg,20.20,,C:\Users\pooja\copilot-worktrees\flood-depth-estimator\kaumod-automatic-barnacle\reports\new_labels\day3\Day 3 photo and depth\20.20cm.jpg
