"split","scene_class","source_path","dataset_path"
"train","dry_road","evaluation_data\images\dry_150525_r26543.webp","training_data\road_scene_classifier\train\dry_road\001_dry_150525_r26543.webp"
"train","dry_road","evaluation_data\images\dry_bike_road.jpg","training_data\road_scene_classifier\train\dry_road\002_dry_bike_road.jpg"
"train","dry_road","evaluation_data\images\dry_desert-country.webp","training_data\road_scene_classifier\train\dry_road\003_dry_desert-country.webp"
"train","dry_road","evaluation_data\images\dry_draught.jpg","training_data\road_scene_classifier\train\dry_road\004_dry_draught.jpg"
"train","dry_road","evaluation_data\images\dry_draught_1.jpg","training_data\road_scene_classifier\train\dry_road\005_dry_draught_1.jpg"
"train","dry_road","evaluation_data\images\dry_Empty_Road.jpg","training_data\road_scene_classifier\train\dry_road\006_dry_Empty_Road.jpg"
"train","dry_road","evaluation_data\images\dry_human_dry_field.jpg","training_data\road_scene_classifier\train\dry_road\007_dry_human_dry_field.jpg"
"train","dry_road","evaluation_data\images\dry_human_dry_sand.jpg","training_data\road_scene_classifier\train\dry_road\008_dry_human_dry_sand.jpg"
"train","dry_road","evaluation_data\images\dry_landscape-view-lonely-dead-tree-260nw-1705648108.webp","training_data\road_scene_classifier\train\dry_road\009_dry_landscape-view-lonely-dead-tree-260nw-1705648108.webp"
"validation","dry_road","evaluation_data\images\dry_lonely-trees-beside-dirt-road.webp","training_data\road_scene_classifier\validation\dry_road\010_dry_lonely-trees-beside-dirt-road.webp"
"test","dry_road","evaluation_data\images\dry_road_gir.jpg","training_data\road_scene_classifier\test\dry_road\011_dry_road_gir.jpg"
"test","dry_road","evaluation_data\images\dry_some-desert-places.webp","training_data\road_scene_classifier\test\dry_road\012_dry_some-desert-places.webp"
"test","dry_road","evaluation_data\images\dry_sunset_road_land.webp","training_data\road_scene_classifier\test\dry_road\013_dry_sunset_road_land.webp"
"train","wet_road","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _1.jpg","training_data\road_scene_classifier\train\wet_road\001_wet road _1.jpg"
