"sha256","cross_split_duplicate","split","scene_class","dataset_path"
"7FCA41ED52BF9E029BD9A634AA0D9A69D49194EEA2CA463F0AE953A694678908","False","train","meaningful_flood","train\meaningful_flood\019_15.01cm.jpg"
"7FCA41ED52BF9E029BD9A634AA0D9A69D49194EEA2CA463F0AE953A694678908","False","train","meaningful_flood","train\meaningful_flood\022_15.02cm.jpg"
"CF833EAD21E39BC051B21346242322B1C323A05D7D038226C41A9F8FF155D83E","False","train","meaningful_flood","train\meaningful_flood\025_15.03cm_1.jpg"
"CF833EAD21E39BC051B21346242322B1C323A05D7D038226C41A9F8FF155D83E","False","train","meaningful_flood","train\meaningful_flood\043_15.12cm_1.jpg"
"224749B82D03D8D7C46DA64E0BFB78400B09AA4787C9F11F98B19D17C2866FA8","False","train","meaningful_flood","train\meaningful_flood\028_15.05cm.jpg"
"224749B82D03D8D7C46DA64E0BFB78400B09AA4787C9F11F98B19D17C2866FA8","False","train","meaningful_flood","train\meaningful_flood\050_15.16cm.jpg"
"897C33E823DC9241EAB8011A55F239B1356F999808C7A25B3E08E0BE6A1519AC","False","train","meaningful_flood","train\meaningful_flood\033_15.07cm_1.jpg"
"897C33E823DC9241EAB8011A55F239B1356F999808C7A25B3E08E0BE6A1519AC","False","train","meaningful_flood","train\meaningful_flood\052_15.18cm.jpg"
"21549F8E2224F7732406BEEDAACCF64BC16A33087E3324E51938F821967008EA","False","train","meaningful_flood","train\meaningful_flood\058_15.22cm.jpg"
"21549F8E2224F7732406BEEDAACCF64BC16A33087E3324E51938F821967008EA","False","train","meaningful_flood","train\meaningful_flood\072_20.01cm_1.jpg"
"21549F8E2224F7732406BEEDAACCF64BC16A33087E3324E51938F821967008EA","False","train","meaningful_flood","train\meaningful_flood\074_20.02cm_1.jpg"
"794FB8CCAB70870A92F366A4031C8509DAEF422D29B3E5AF90A7C7143BFC5CA2","True","train","meaningful_flood","train\meaningful_flood\111_20.17cm.jpg"
"794FB8CCAB70870A92F366A4031C8509DAEF422D29B3E5AF90A7C7143BFC5CA2","True","validation","meaningful_flood","validation\meaningful_flood\147_22.55cm.jpg"
"19C4824AFDCDACC2889625135FF6C7C591E426C70010D338FE97F9F0DC63A1D6","False","train","meaningful_flood","train\meaningful_flood\123_20.22c.jpg"
"19C4824AFDCDACC2889625135FF6C7C591E426C70010D338FE97F9F0DC63A1D6","False","train","meaningful_flood","train\meaningful_flood\138_20cm_1.jpg"
"81F4071CF1741071F06E3888B441A1189B842552B4C63CA43AF1141075A39944","True","train","meaningful_flood","train\meaningful_flood\126_20.26cm.jpg"
"81F4071CF1741071F06E3888B441A1189B842552B4C63CA43AF1141075A39944","True","validation","meaningful_flood","validation\meaningful_flood\154_25.00cm_1.jpg"
"D1C6F2D7E1E53F521F24B227D7DCC3A47044B20218220B93893940A5058466BD","True","train","meaningful_flood","train\meaningful_flood\127_20.27cm.jpg"
"D1C6F2D7E1E53F521F24B227D7DCC3A47044B20218220B93893940A5058466BD","True","validation","meaningful_flood","validation\meaningful_flood\156_25.01cm.jpg"
