"split","source_path","dataset_path","approved","notes"
"train","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _1.jpg","training_data\road_scene_classifier\train\wet_road\001_wet road _1.jpg","yes","confirmed wet road / no flood"
"train","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _10.jpg","training_data\road_scene_classifier\train\wet_road\002_wet road _10.jpg","yes","confirmed wet road / no flood"
"train","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _11.jpg","training_data\road_scene_classifier\train\wet_road\003_wet road _11.jpg","yes","confirmed wet road / no flood"
"train","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _12.jpg","training_data\road_scene_classifier\train\wet_road\004_wet road _12.jpg","yes","confirmed wet road / no flood"
"train","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _2.jpg","training_data\road_scene_classifier\train\wet_road\005_wet road _2.jpg","yes","confirmed wet road / no flood"
"train","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _3.jpg","training_data\road_scene_classifier\train\wet_road\006_wet road _3.jpg","yes","confirmed wet road / no flood"
"train","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _4.jpg","training_data\road_scene_classifier\train\wet_road\007_wet road _4.jpg","yes","confirmed wet road / no flood"
"train","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _5.jpg","training_data\road_scene_classifier\train\wet_road\008_wet road _5.jpg","yes","confirmed wet road / no flood"
"validation","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _6.jpg","training_data\road_scene_classifier\validation\wet_road\009_wet road _6.jpg","yes","confirmed wet road / no flood"
"test","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _7.jpg","training_data\road_scene_classifier\test\wet_road\010_wet road _7.jpg","yes","confirmed wet road / no flood"
"test","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _8.jpg","training_data\road_scene_classifier\test\wet_road\011_wet road _8.jpg","yes","confirmed wet road / no flood"
"test","C:\Users\abhij\OneDrive\Desktop\WellLabs\flood_project_cleaned\evaluation_data\images\wet road _9.jpg","training_data\road_scene_classifier\test\wet_road\012_wet road _9.jpg","yes","confirmed wet road / no flood"
