split,scene_class,sha256,source_path,source_manifest_path,dataset_path
train,dry_road,04ba0318f1bc7b9109957f12261e5890a8f6a222b344481f001c6746de889a71,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\001_downloads_dry_dry_raod_33.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/001_downloads_dry_dry_raod_33.jpg,training_data/scene_classifier/train/dry_road/0001_001_downloads_dry_dry_raod_33.jpg
validation,dry_road,0bd2db743553b676d390d17c2a3a0b8b309d60bef37e4283425ae0fa9636317f,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\002_downloads_dry_dry_raod_09.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/002_downloads_dry_dry_raod_09.jpg,training_data/scene_classifier/validation/dry_road/0002_002_downloads_dry_dry_raod_09.jpg
train,dry_road,126fea65fa6be02c4b3a792ac2b3f4c6b5966ee908a2e718180313c942b3daff,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\003_downloads_dry_dry_raod_32.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/003_downloads_dry_dry_raod_32.jpg,training_data/scene_classifier/train/dry_road/0003_003_downloads_dry_dry_raod_32.jpg
test,dry_road,1283567ea0b32f815b7a759e97d0d6e2f7009ff23a447d56c1f7b2ebf5db05b8,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\004_downloads_dry_dry_raod_01.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/004_downloads_dry_dry_raod_01.jpg,training_data/scene_classifier/test/dry_road/0004_004_downloads_dry_dry_raod_01.jpg
test,dry_road,12ed15837019b8046ec799e6a089ae75a51e85963d737dc0e1b9c075305d4c45,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\004_dry_draught.jpg,training_data/road_scene_classifier/train/dry_road/004_dry_draught.jpg,training_data/scene_classifier/test/dry_road/0005_004_dry_draught.jpg
validation,dry_road,1838d13c4012e800b5de31abd402de37335f973869a5386fd89e33510ad25780,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\006_dry_Empty_Road.jpg,training_data/road_scene_classifier/train/dry_road/006_dry_Empty_Road.jpg,training_data/scene_classifier/validation/dry_road/0006_006_dry_Empty_Road.jpg
train,dry_road,19c370f49ffff0d9c96e7c9f8713f187c2805a2945b10e382972afaeec272980,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\005_downloads_dry_dry_raod_11.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/005_downloads_dry_dry_raod_11.jpg,training_data/scene_classifier/train/dry_road/0007_005_downloads_dry_dry_raod_11.jpg
train,dry_road,1d0d75726fa5262efc5517a81bc3705bfd543cb5707dd889dba86305c762ef07,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\006_downloads_dry_dry_raod_08.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/006_downloads_dry_dry_raod_08.jpg,training_data/scene_classifier/train/dry_road/0008_006_downloads_dry_dry_raod_08.jpg
train,dry_road,1e0829e9efaa489db1daae51ad3f308d8dab6e553be1ebc71072f50768cf8699,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\007_downloads_dry_dry_raod_24.jpg,C:/Users/abhij/OneDrive/Desktop/WellLabs/flood_project_cleaned/training_data/road_scene_classifier/train/dry_road/007_downloads_dry_dry_raod_24.jpg,training_data/scene_classifier/train/dry_road/0009_007_downloads_dry_dry_raod_24.jpg
validation,dry_road,2969d27d38f257bd25956e0148816a1570faae9fd9cbdf6b52574ded38f50081,C:\Users\Shweatlana Mahapatra\Desktop\Force For Good\flood-depth-estimator-v3-SM_Sep\training_data\road_scene_classifier\train\dry_road\002_dry_bike_road.jpg,training_data/road_scene_classifier/train/dry_road/002_dry_bike_road.jpg,training_data/scene_classifier/validation/dry_road/0010_002_dry_bike_road.jpg
