action,new_filename,old_filename,depth_cm,split
replaced,002_20CM.jpg,test0916_low_flood_002_15cm.jpg,20.0,train
replaced,003_8CM.jpg,test0916_shallow_flood_003_5cm.jpg,8.0,train
replaced,004_8cm.jpg,test0916_low_flood_004_15cm.jpg,8.0,train
replaced,005_10CM.jpg,test0916_low_flood_005_15cm.jpg,10.0,train
replaced,006_10CM.jpg,test0916_shallow_flood_006_5cm.jpg,10.0,train
replaced,007_28CM.jpg,test0916_moderate_flood_007_30cm.jpg,28.0,train
replaced,008_15CM.jpg,test0916_moderate_flood_008_30cm.jpg,15.0,train
replaced,009_12CM.jpg,test0916_low_flood_009_15cm.jpg,12.0,train
added,001_24CM.jpg,,24.0,train
added,010_15CM.jpg,,15.0,train
added,011_10CM.jpg,,10.0,val
added,012_8CM.jpg,,8.0,test
added,013_10CM.jpg,,10.0,train
added,014_10CM.jpg,,10.0,train
added,015_20CM.jpg,,20.0,val
added,016_20CM.jpg,,20.0,test
added,017_10CM.jpg,,10.0,train
added,018_20CM.jpg,,20.0,train
added,019_25CM.jpg,,25.0,val
added,020_15CM.jpg,,15.0,train
added,021_10CM.jpg,,10.0,train
added,022_35CM.jpg,,35.0,test
added,023_35CM.jpg,,35.0,val
added,024_38CM.jpg,,38.0,train
added,025_40CM.jpg,,40.0,train
added,026_45CM.jpg,,45.0,test
