"filename","depth_cm"
"47.0cm.png","47.0"
"85.0cm.png","85.0"
"57.5cm.jpg","57.5"
"25.04cm.png","25.04"
"160cm.jpg","160.0"
"15.06cm.jpg","15.06"
"72.5cm.png","72.5"
"15cm_1.jpg","15.0"
"20.24cm.jpg","20.24"
"15.22cm.jpg","15.22"
"160.0cm.jpg","160.0"
"15.17cm.jpg","15.17"
"37.5cm.jpg","37.5"
"37cm.jpg","37.0"
"20.05cm_1.jpg","20.05"
"75.0cm.png","75.0"
"20.14cm_1.jpg","20.14"
"15.09cm.jpg","15.09"
"20.16cm.jpg","20.16"
"20cm_1.jpg","20.0"
"42.51cm.jpg","42.51"
"18cm.png","18.0"
"120cm.png","120.0"
"20.17cm_1.jpg","20.17"
"55.01cm.jpg","55.01"
"15.04cm.jpg","15.04"
"20.25cm.jpg","20.25"
"42.52cm.jpg","42.52"
"15.01cm.jpg","15.01"
"20.01cm_1.jpg","20.01"
"15.12cm_1.jpg","15.12"
"85.0cm.jpg","85.0"
"15.14cm.jpg","15.14"
"15.09cm_1.jpg","15.09"
"32.5cm_1.jpg","32.5"
"32.5cm_2.jpg","32.5"
"image_80.jpg","20.0"
"7.50cm.jpg","7.5"
"17.5cm.png","17.5"
"15.1cm.png","15.1"
"15.20cm.jpg","15.2"
"37.52cm.jpg","37.52"
"27.63cm.jpg","27.63"
"90cm.png","90.0"
"140cm_1.png","140.0"
"20.19cm_1.jpg","20.19"
"85cm.png","85.0"
"60.02cm.jpg","60.02"
"45.04cm.jpg","45.04"
"20.07cm_1.jpg","20.07"
"20.20cm.jpg","20.2"
"25.03cm.png","25.03"
"47.5cm_1.jpg","47.5"
"7.5cm.jpg","7.5"
"70cm_2.jpg","70.0"
"32.0cm_1.jpg","32.0"
"15.0cm_1.jpg","15.0"
"20.1cm_1.jpg","20.1"
"22.5cm.jpg","22.5"
"25.5cm.jpg","25.5"
"10.0cm_1.jpg","10.0"
"25.03cm.jpg","25.03"
"80cm_1.png","80.0"
"70cm.jpg","70.0"
"20.0cm.jpg","20.0"
"22.51cm.jpg","22.51"
"45.0cm.jpg","45.0"
"10.0cm.jpg","10.0"
"20.02cm_1.jpg","20.02"
"15.12cm.jpg","15.12"
"15.01cm_1.jpg","15.01"
"20.09cm_1.jpg","20.09"
"15.08cm_1.jpg","15.08"
"140cm.png","140.0"
"70.0cm.jpg","70.0"
"47.51cm.jpg","47.51"
"30.0cm.jpg","30.0"
"20.07cm.jpg","20.07"
