filename,depth_cm,split
050_20CM.jpg,20,val
051_35CM.jpg,35,train
052_80CM.jpg,80,train
053_50CM.jpg,50,test
054_35CM.jpg,35,train
055_35CM.jpg,35,val
056_25CM.jpg,25,train
057_25CM.jpg,25,train
058_30CM.jpg,30,test
059_60CM.jpg,60,train
060_25CM.jpg,25,train
062_40CM.jpg,40,train
063_35CM.jpg,35,train
064_18CM.jpg,18,test
065_20CM.jpg,20,train
066_20CM.jpg,20,train
067_22CM.jpg,22,train
068_26CM.jpg,26,train
069_19CM.jpg,19,train
070_60CM.jpg,60,val
071_65CM.jpg,65,train
072_55CM.jpg,55,train
073_75CM.jpg,75,val
074_75CM.jpg,75,test
